Headline,Type
Tesla's robotaxi rollout runs into trouble - TheStreet nan,Technology&Science
"Japan's core inflation hits highest level since January 2023, putting pressure on BOJ to raise rates - CNBC Rice prices have spiked 101.7% year over year, marking their largest increase in over half a century.",Economy
"Ethereum hints toward a breakout, but are you missing the signs? - AMBCrypto With Open Interest at record highs and inflows surging, ETH could be repeating Bitcoin’s biggest moves.",Finance
"Deadly listeria outbreak leads to recall of ready-to-eat fettuccine Alfredo meals - NPR A nationwide listeria outbreak has been linked to 17 illnesses, and three deaths, according to the U.S. Department of Agriculture's Food Safety and Inspection.",Health&Medicine
Dow futures drop 200 points as Trump weighs attack on Iran: Live updates - CNBC Stocks are heading into the end of the shortened trading week,Finance
"Wes Moore accuses Trump of ‘a lack of seriousness’ in dealing with Iran - Politico ""To see such a free-wheeling conversation about issues of life and death is disappointing,"" Moore says.",Politics
"Stocks Slide on Mideast Tension, Fed’s Warning: Markets Wrap - bloomberg.com Oil trimmed earlier gains and equity futures remained lower after White House press secretary Karoline Leavitt said President Trump will decide within two weeks whether to back Israel militarily in its conflict with Iran. The remarks offered some short-term c…",Finance
"16 billion passwords exposed in unprecedented cyber leak of 2025, experts raise global alarm - The Economic Times A massive breach has exposed over 16 billion login credentials, creating unprecedented risks of phishing, identity theft, and account takeovers. The stolen data, gathered by infostealer malware, includes URLs, logins, and passwords for various online services…",Technology&Science
Trump Family Reduces Stake in Crypto Project World Liberty - Decrypt DT Marks DEFI LLC recently reduced its ownership share in the company from 60% to approximately 40%.,Business
Telegram founder and billionaire Pavel Durov plans to leave fortune to his 100-plus children - CBS News Telegram founder and CEO Pavel Durov told a publication that all of his more than 100 children will inherit some of his fortune.,LifeStyle
"Chase Sapphire’s $795 Revamp Hinges On Lounge Quality—LAX Promises Private Tarmac Transfers, Yet Will Spend Just $8.40 On Meals - View from the Wing Pondering this sent me down a rabbit hole, pouring through LA city documents about the upcoming Chase Sapphire Lounge at LAX in the Tom Bradley International Terminal. Ongoing operating costs for the lounge are about $20 million a year. But this one number st…",Business
